url,clicks,impressions,ctr_pct,position
https://enseigna.fr/avis-superprof-soutien-scolaire/,465,580776,0.08,7.28
https://enseigna.fr/avis-kartable-soutien-scolaire/,2582,247592,1.04,6.26
https://enseigna.fr/avis-soutien-scolaire-schoolmouv/,1641,238849,0.69,6.43
https://enseigna.fr/avis-plateforme-coursera/,1918,195357,0.98,8.68
https://enseigna.fr/sherpas-avis-cours-particuliers/,1862,139178,1.34,7.55
https://enseigna.fr/udemy-formation-avis/,402,138327,0.29,7.44
https://enseigna.fr/avis-wall-street-english-les-cours-danglais/,658,68180,0.97,14.74
https://enseigna.fr/duolingo-avis-apprentissage-langues/,260,65146,0.4,12.62
https://enseigna.fr/avis-gostudent-soutien-scolaire/,386,64217,0.6,7.48
https://enseigna.fr/avis-acadomia-soutien-scolaire/,787,61119,1.29,10.21
https://enseigna.fr/avis-completude-cours-particuliers/,510,53313,0.96,14.39
https://enseigna.fr/babbel-avis-allemand/,101,46089,0.22,18.59
https://enseigna.fr/avis-voscours-soutien-scolaire/,289,30041,0.96,8.75
https://enseigna.fr/avis-cours-legendre-que-vaut-le-soutien-scolaire/,609,24134,2.52,11.0
https://enseigna.fr/avis-formations-openclassrooms/,37,24113,0.15,26.78
https://enseigna.fr/avis-anacours-soutien-scolaire/,167,20954,0.8,11.77
https://enseigna.fr/avis-apprentus-soutien-scolaire/,209,19469,1.07,6.77
https://enseigna.fr/busuu-avis-apprentissage-litalien/,111,16833,0.66,14.03
https://enseigna.fr/digischool-avis-mes-retours-sur-la-plateforme/,305,14356,2.12,7.74
https://enseigna.fr/superprof-avis-cours-langue/,22,10578,0.21,17.54
https://enseigna.fr/avis-berlitz-que-vaut-cette-ecole-pour-apprendre-langlais/,188,10483,1.79,9.33
https://enseigna.fr/avis-kelprof-loisirs/,33,8733,0.38,9.03
https://enseigna.fr/article-langues-preply/,43,8492,0.51,14.09
https://enseigna.fr/rosetta-stone-avis-apprentissage-langues/,28,8361,0.33,22.5
https://enseigna.fr/avis-voscours-loisirs/,22,5037,0.44,14.58
https://enseigna.fr/avis-cours-loisirs-preply/,18,4448,0.4,14.47
https://enseigna.fr/superprof-vs-les-sherpas/,40,3670,1.09,12.03
https://enseigna.fr/mosalingua-avis-apprentissage-langues/,11,2923,0.38,27.66
https://enseigna.fr/memrise-avis-cours-langue/,46,2854,1.61,9.28
https://enseigna.fr/avis-superprof-loisirs/,12,2603,0.46,18.48
https://enseigna.fr/superprof-vs-completude/,5,1690,0.3,23.51
https://enseigna.fr/superprof-vs-acadomia/,11,1523,0.72,8.65
https://enseigna.fr/superprof-vs-voscours/,10,1013,0.99,10.17
https://enseigna.fr/italki-les-cours-de-langues-avec-des-natifs/,6,855,0.7,23.28
https://enseigna.fr/groupe-reussite-test/,20,655,3.05,8.42
https://enseigna.fr/methodologie-palmares-villes/,79,653,12.1,8.56
https://enseigna.fr/soutien-scolaire/,3,528,0.57,18.25
https://enseigna.fr/superprof-vs-anacours/,0,450,0,10.23
https://enseigna.fr/allegro-musique-avis-cours-de-musique/,12,362,3.31,8.19
https://enseigna.fr/loisirs/,0,106,0,3.71
https://enseigna.fr/formations-diplomantes/,0,82,0,2.46
https://enseigna.fr/langues/,0,61,0,5.21
